	Subsystem
mn2_secretion	Small molecules
mn2_uptake	Small molecules
mnl_secretion	Fructose and mannose metabolism
mnl_uptake	Fructose and mannose metabolism
mobd_secretion	Small molecules
mobd_uptake	Small molecules
mops_secretion	Small molecules
mops_uptake	Small molecules
mqn7_secretion	Citric acid cycle
mqn7_uptake	Citric acid cycle
mqn8_secretion	Citric acid cycle
mqn8_uptake	Citric acid cycle
mso3_secretion	Respiration
mso3_uptake	Respiration
n2_secretion	Nitrogen metabolism
n2_uptake	Nitrogen metabolism
n2o_secretion	Drug metabolism
n2o_uptake	Drug metabolism
na1_secretion	Butanoate metabolism
na1_uptake	Butanoate metabolism
nac_secretion	NAD metabolism
nac_uptake	NAD metabolism
nad_secretion	2-Oxocarboxylic acid metabolism
nad_uptake	2-Oxocarboxylic acid metabolism
nadp_secretion	Alanine and aspartate metabolism
nadp_uptake	Alanine and aspartate metabolism
ncam_secretion	Miscellaneous
ncam_uptake	Miscellaneous
nh4_secretion	Alanine and aspartate metabolism
nh4_uptake	Alanine and aspartate metabolism
ni2_secretion	Small molecules
ni2_uptake	Small molecules
nicrnt_secretion	NAD metabolism
nicrnt_uptake	NAD metabolism
nmn_secretion	NAD metabolism
nmn_uptake	NAD metabolism
no_secretion	Arginine and proline metabolism
no_uptake	Arginine and proline metabolism
no2_secretion	Miscellaneous
no2_uptake	Miscellaneous
no3_secretion	Nitrogen metabolism
no3_uptake	Nitrogen metabolism
norval_L_secretion	Valine, leucine, and isoleucine metabolism
norval_L_uptake	Valine, leucine, and isoleucine metabolism
o2_secretion	Alanine and aspartate metabolism
o2_uptake	Alanine and aspartate metabolism
oaa_secretion	Alanine and aspartate metabolism
oaa_uptake	Alanine and aspartate metabolism
ocdca_secretion	Fatty acid oxidation
ocdca_uptake	Fatty acid oxidation
ocdcea_secretion	Fatty acid oxidation
ocdcea_uptake	Fatty acid oxidation
odecrn_secretion	Fatty acid oxidation
odecrn_uptake	Fatty acid oxidation
oligofru4_secretion	Plant polysaccharide degradation
oligofru4_uptake	Plant polysaccharide degradation
orn_secretion	Arginine and proline metabolism
orn_uptake	Arginine and proline metabolism
orot_secretion	Pyrimidine catabolism
orot_uptake	Pyrimidine catabolism
orot5p_secretion	Pyrimidine synthesis
orot5p_uptake	Pyrimidine synthesis
oxa_secretion	Glyoxylate and dicarboxylate metabolism
oxa_uptake	Glyoxylate and dicarboxylate metabolism
pac_secretion	Arginine and proline metabolism
pac_uptake	Arginine and proline metabolism
pan4p_secretion	CoA catabolism
pan4p_uptake	CoA catabolism
pap_secretion	Bile acid synthesis
pap_uptake	Bile acid synthesis
pb_secretion	Small molecules
pb_uptake	Small molecules
pchol_hs_secretion	Cholesterol metabolism
pchol_hs_uptake	Cholesterol metabolism
peamn_secretion	Phenylalanine metabolism
peamn_uptake	Phenylalanine metabolism
pect_secretion	Dietary fiber binding
pect_uptake	Dietary fiber binding
pecticgal_secretion	Plant polysaccharide degradation
pecticgal_uptake	Plant polysaccharide degradation
phe_L_secretion	Miscellaneous
phe_L_uptake	Miscellaneous
pheme_secretion	Heme degradation
pheme_uptake	Heme degradation
phepheasn_secretion	Peptide metabolism
phepheasn_uptake	Peptide metabolism
phpyr_secretion	Phenylalanine metabolism
phpyr_uptake	Phenylalanine metabolism
pi_secretion	Alanine and aspartate metabolism
pi_uptake	Alanine and aspartate metabolism
pime_secretion	Glycerophospholipid metabolism
pime_uptake	Glycerophospholipid metabolism
pnto_R_secretion	CoA catabolism
pnto_R_uptake	CoA catabolism
ppa_secretion	Bile acid synthesis
ppa_uptake	Bile acid synthesis
ppal_secretion	Glycolysis/gluconeogenesis
ppal_uptake	Glycolysis/gluconeogenesis
ppbng_secretion	Heme synthesis
ppbng_uptake	Heme synthesis
ppi_secretion	Alanine and aspartate metabolism
ppi_uptake	Alanine and aspartate metabolism
ppoh_secretion	Glycolysis/gluconeogenesis
ppoh_uptake	Glycolysis/gluconeogenesis
pppi_secretion	Glycolysis/gluconeogenesis
pppi_uptake	Glycolysis/gluconeogenesis
pppn_secretion	Phenylalanine metabolism
pppn_uptake	Phenylalanine metabolism
ppt_secretion	Small molecules
ppt_uptake	Small molecules
pro_L_secretion	Arginine and proline metabolism
pro_L_uptake	Arginine and proline metabolism
prolyspro_secretion	Peptide metabolism
prolyspro_uptake	Peptide metabolism
propropro_secretion	Peptide metabolism
propropro_uptake	Peptide metabolism
psics_D_secretion	Fructose and mannose metabolism
psics_D_uptake	Fructose and mannose metabolism
ptrc_secretion	Arginine and proline metabolism
ptrc_uptake	Arginine and proline metabolism
pullulan1200_secretion	Starch and sucrose metabolism
pullulan1200_uptake	Starch and sucrose metabolism
pydam_secretion	Vitamin B6 metabolism
pydam_uptake	Vitamin B6 metabolism
pydx_secretion	Vitamin B6 metabolism
pydx_uptake	Vitamin B6 metabolism
pydx5p_secretion	Selenoamino acid metabolism
pydx5p_uptake	Selenoamino acid metabolism
pydxn_secretion	Vitamin B6 metabolism
pydxn_uptake	Vitamin B6 metabolism
pyr_secretion	Alanine and aspartate metabolism
pyr_uptake	Alanine and aspartate metabolism
q8_secretion	Citric acid cycle
q8_uptake	Citric acid cycle
raffin_secretion	Fructose and mannose metabolism
raffin_uptake	Fructose and mannose metabolism
rbflvrd_secretion	Respiration
rbflvrd_uptake	Respiration
rhamnogalurI_secretion	Plant polysaccharide degradation
rhamnogalurI_uptake	Plant polysaccharide degradation
rhamnogalurII_secretion	Plant polysaccharide degradation
rhamnogalurII_uptake	Plant polysaccharide degradation
rib_D_secretion	Methionine and cysteine metabolism
rib_D_uptake	Methionine and cysteine metabolism
ribflv_secretion	Respiration
ribflv_uptake	Respiration
rmn_secretion	Fructose and mannose metabolism
rmn_uptake	Fructose and mannose metabolism
Rtotal_secretion	Fatty acid oxidation
Rtotal_uptake	Fatty acid oxidation
Rtotal2_secretion	Fatty acid oxidation
Rtotal2_uptake	Fatty acid oxidation
Rtotal3_secretion	Glycerophospholipid metabolism
Rtotal3_uptake	Glycerophospholipid metabolism
salc_secretion	Biosynthesis of siderophore group nonribosomal peptides
salc_uptake	Biosynthesis of siderophore group nonribosomal peptides
salcn_secretion	Histone phosphorylation
salcn_uptake	Histone phosphorylation
sb_611855_secretion	Drug metabolism
sb_611855_uptake	Drug metabolism
sbt_D_secretion	Fructose and mannose metabolism
sbt_D_uptake	Fructose and mannose metabolism
sbzcoa_secretion	Ubiquinone and other terpenoid-quinone biosynthesis
sbzcoa_uptake	Ubiquinone and other terpenoid-quinone biosynthesis
ser_D_secretion	Glycine, serine, alanine, and threonine metabolism
ser_D_uptake	Glycine, serine, alanine, and threonine metabolism
ser_L_secretion	Glycerophospholipid metabolism
ser_L_uptake	Glycerophospholipid metabolism
Ser_Thr_secretion	Keratan sulfate degradation
Ser_Thr_uptake	Keratan sulfate degradation
sheme_secretion	Vitamin B12 metabolism
sheme_uptake	Vitamin B12 metabolism
skm_secretion	Phenylalanine metabolism
skm_uptake	Phenylalanine metabolism
so3_secretion	Aminosugar metabolism
so3_uptake	Aminosugar metabolism
so4_secretion	Androgen and estrogen synthesis and metabolism
so4_uptake	Androgen and estrogen synthesis and metabolism
spmd_secretion	Arginine and proline metabolism
spmd_uptake	Arginine and proline metabolism
sql_secretion	Cholesterol metabolism
sql_uptake	Cholesterol metabolism
srb_L_secretion	Fructose and mannose metabolism
srb_L_uptake	Fructose and mannose metabolism
sT_antigen_secretion	Mucin O-glycan biosynthesis
sT_antigen_uptake	Mucin O-glycan biosynthesis
starch1200_secretion	Starch and sucrose metabolism
starch1200_uptake	Starch and sucrose metabolism
sTn_antigen_secretion	Mucin O-glycan biosynthesis
sTn_antigen_uptake	Mucin O-glycan biosynthesis
strch1_secretion	Starch and sucrose metabolism
strch1_uptake	Starch and sucrose metabolism
strch2_secretion	Starch and sucrose metabolism
strch2_uptake	Starch and sucrose metabolism
stys_secretion	Fructose and mannose metabolism
stys_uptake	Fructose and mannose metabolism
succ_secretion	Arginine and proline metabolism
succ_uptake	Arginine and proline metabolism
sucr_secretion	Fructose and mannose metabolism
sucr_uptake	Fructose and mannose metabolism
sulfac_secretion	Respiration
sulfac_uptake	Respiration
T_antigen_secretion	Mucin O-glycan biosynthesis
T_antigen_uptake	Mucin O-glycan biosynthesis
tag_hs_secretion	Glycerophospholipid metabolism
tag_hs_uptake	Glycerophospholipid metabolism
tagat_D_secretion	Galactose metabolism
tagat_D_uptake	Galactose metabolism
taur_secretion	Bile acid metabolism
taur_uptake	Bile acid metabolism
tchola_secretion	Bile acid metabolism
tchola_uptake	Bile acid metabolism
tdchola_secretion	Bile acid metabolism
tdchola_uptake	Bile acid metabolism
tdechola_secretion	Bile acid metabolism
tdechola_uptake	Bile acid metabolism
tet_secretion	Respiration
tet_uptake	Respiration
thf_secretion	CoA synthesis
thf_uptake	CoA synthesis
thm_secretion	Thiamine metabolism
thm_uptake	Thiamine metabolism
thmmp_secretion	Thiamine metabolism
thmmp_uptake	Thiamine metabolism
thr_L_secretion	Glycine, serine, alanine, and threonine metabolism
thr_L_uptake	Glycine, serine, alanine, and threonine metabolism
thym_secretion	Pyrimidine catabolism
thym_uptake	Pyrimidine catabolism
thymd_secretion	Nucleotide interconversion
thymd_uptake	Nucleotide interconversion
tma_secretion	Others
tma_uptake	Others
tmao_secretion	Primary amine metabolism
tmao_uptake	Primary amine metabolism
tmphp_secretion	Others
tmphp_uptake	Others
Tn_antigen_secretion	Keratan sulfate degradation
Tn_antigen_uptake	Keratan sulfate degradation
tre_secretion	Histone phosphorylation
tre_uptake	Histone phosphorylation
trp_L_secretion	Peptide metabolism
trp_L_uptake	Peptide metabolism
trpglngln_secretion	Peptide metabolism
trpglngln_uptake	Peptide metabolism
trypta_secretion	Tryptophan metabolism
trypta_uptake	Tryptophan metabolism
tsul_secretion	Methionine and cysteine metabolism
tsul_uptake	Methionine and cysteine metabolism
ttdca_secretion	Cytochrome metabolism
ttdca_uptake	Cytochrome metabolism
ttdcea_secretion	Fatty acid oxidation
ttdcea_uptake	Fatty acid oxidation
tton_secretion	Respiration
tton_uptake	Respiration
turan_D_secretion	Fructose and mannose metabolism
turan_D_uptake	Fructose and mannose metabolism
tym_secretion	Tyrosine metabolism
tym_uptake	Tyrosine metabolism
Tyr_ggn_secretion	Starch and sucrose metabolism
Tyr_ggn_uptake	Starch and sucrose metabolism
tyr_L_secretion	Folate metabolism
tyr_L_uptake	Folate metabolism
tyrphetyr_secretion	Peptide metabolism
tyrphetyr_uptake	Peptide metabolism
udcpdp_secretion	Cell wall biosynthesis
udcpdp_uptake	Cell wall biosynthesis
udp_secretion	Aminosugar metabolism
udp_uptake	Aminosugar metabolism
udpg_secretion	Aminosugar metabolism
udpg_uptake	Aminosugar metabolism
udpgal_secretion	Aminosugar metabolism
udpgal_uptake	Aminosugar metabolism
udpglcur_secretion	Bile acid synthesis
udpglcur_uptake	Bile acid synthesis
ump_secretion	Cell wall biosynthesis
ump_uptake	Cell wall biosynthesis
ura_secretion	Glycine, serine, alanine, and threonine metabolism
ura_uptake	Glycine, serine, alanine, and threonine metabolism
urea_secretion	Alanine and aspartate metabolism
urea_uptake	Alanine and aspartate metabolism
uri_secretion	Nucleotide interconversion
uri_uptake	Nucleotide interconversion
utp_secretion	Aminosugar metabolism
utp_uptake	Aminosugar metabolism
val_L_secretion	Peptide metabolism
val_L_uptake	Peptide metabolism
vldl_hs_secretion	Glycerophospholipid metabolism
vldl_hs_uptake	Glycerophospholipid metabolism
xan_secretion	Caffeine metabolism
xan_uptake	Caffeine metabolism
xmp_secretion	Bile acid synthesis
xmp_uptake	Bile acid synthesis
xtsn_secretion	Caffeine metabolism
xtsn_uptake	Caffeine metabolism
xyl_D_secretion	Chondroitin sulfate degradation
xyl_D_uptake	Chondroitin sulfate degradation
xylan_secretion	Drug metabolism
xylan_uptake	Drug metabolism
xylottr_secretion	Plant polysaccharide degradation
xylottr_uptake	Plant polysaccharide degradation
xylt_secretion	Fructose and mannose metabolism
xylt_uptake	Fructose and mannose metabolism
xyluglc_secretion	Drug metabolism
xyluglc_uptake	Drug metabolism
zn2_secretion	Small molecules
zn2_uptake	Small molecules
